ID_GPS,ISO,Country,Partyname,Partyabb,CPARTY,CPARTYABB,Region,Experts,Min_Experts,TYPES,Type_Values,Type_Populism,Type_Populist_Values,Type_Partysize_vote,Type_Partysize_seat,CORE_GPS_ITEMS,V1,V2,V3,V4_Scale,V4_Bin,V4_Ord,V5,V6_Scale,V6_Bin,V6_Ord,V7,V8_Scale,V8_Bin,V8_Ord,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,METAEXPERT,YoB,Gender,Born,Citizen,Partysupport,Ideology,Difficulty,LocationLatitude,LocationLongitude,Language,METAPARTY,Elec_code,Elec_year,PartyPerVote,PartyPerSeats,ENEP,ENPP,LSQINDEX,CHES_lrecon,CHES_lrecon_salience,CHES_galtan,CHES_galtan_salience,CHES_immigrate_policy,CHES_ethnic_minorities,CHES_people_vs_elite,CHES_experts,CHES_vote,CHES_seat,CHES_electionyear,CHES_family,CHES_govt,PG_family,PG_left_right,PG_state_market,PG_liberty_authority,PG_eu_anti_pro,Popu_List,WVS_LR_PartyVoter,WVS_LibCon_PartyVoter,WVS_Polmistrust_PartyVoter,WVS_LR_MedianVoter,WVS_LibCon_MedianVoter,LRdistancemedianvoter,LCdistancemedianvoter,LRdistanceownvoters,LCdistanceownvoters,PARTYIDCODES,ID_ParlGov,ID_PartyFacts,ID_CHES,ID_ESS,ID_CMP,ID_castles_mair,ID_huber_inglehart,ID_ray,ID_benoit_laver,ID_EES,ID_WVS,METACOUNTRY,CountryName,ID_Cow,ID_VDem,Region_9,Region_10,Region_19,OECD,EU,EURegion,polity,polity2,FH_Regime,FH_PoliticalRights,FH_CivilLiberties,Area,Pop1990,Pop2000,Pop2018,GDP,Longevity,Corruption,Electoral_Integrity,VDem_regime,v2x_polyarchy,v2x_libdem,v2xel_frefair,v2elfrfair,v2elfrfair_osp,v2elfrfair_ord,v2elloelsy,v2elparlel,v2elncbpr,Turnout,v2eltrnout,v2elvaptrn,v2psbars,v2psbars_osp,v2psbars_ord,v2psorgs,v2psorgs_osp,v2psorgs_ord,v2psprbrch,v2psprbrch_osp,v2psprbrch_ord,v2psprlnks,v2psprlnks_osp,v2psprlnks_ord,v2psplats,v2psplats_osp,v2psplats_ord,v2xnp_client,v2xps_party
154,CHL,Chile,Democratic Convergence,DC,CHL_ Democratic Convergence,CHL_ DC,2,15,1, ,1,2,1,3, , ,7.58333333333333,4.66666666666667,7.6,3.83333333333333,0,2,8,3.25,0,2,8.25,4,0,2,4,2.75,4.44444444444444,4,8.375,3,3.125,1.66666666666667,4.71428571428571,3.33333333333333,3.71428571428571,4.42857142857143,3.42857142857143, ,1971.18181818182,.909090909090909,.818181818181818,.909090909090909, ,4.36363636363636,8.72727272727273,-8.47694651285807,-58.146432240804,EN, ,CHL_19112017_P1,2017,14.32, , , , , , , , , , , , , , , , , , , , , , ,0, , , ,5.2,7.1265,-1.36666666666667,-3.8765, , , , , , , , , , , , , ,-9, ,Chile,155,72, ,2,18, ,0, , , , , , ,745808.494,13274623,15342353,18729160,22873.8070144682,80.7,67,70.9653625488281,2,.852,.771,.963, , , , , , , , , ,1.903,3.818,4,2.593,3.742,4,2.294,3.415,4,1.855,3.524,4,2.022,3.732,4,.076,.921
155,CHL,Chile,The Force of the Majority,FM,CHL_ The Force of the Majority,CHL_ FM,2,15,1, ,1,2,1,3, , ,7.25,3.33333333333333,6,3.5,0,2,7.6,2.77777777777778,0,2,6.57142857142857,4,0,2,4.6,3.14285714285714,4,4.25,8.66666666666667,2.5,3.11111111111111,1.66666666666667,4.85714285714286,4.14285714285714,5.375,4.16666666666667,3.875, ,1971.18181818182,.909090909090909,.818181818181818,.909090909090909, ,4.36363636363636,8.72727272727273,-8.47694651285807,-58.146432240804,EN, ,CHL_19112017_P1,2017,22.82, , , , , , , , , , , , , , , , , , , , , , ,0, , , ,5.2,7.1265,-1.7,-4.34872222222222, , , , , , , , , , , , , ,-9, ,Chile,155,72, ,2,18, ,0, , , , , , ,745808.494,13274623,15342353,18729160,22873.8070144682,80.7,67,70.9653625488281,2,.852,.771,.963, , , , , , , , , ,1.903,3.818,4,2.593,3.742,4,2.294,3.415,4,1.855,3.524,4,2.022,3.732,4,.076,.921
156,CIV,Cote d'Ivoire,Independents,Ind.,CIV_ Independents,CIV_ Ind.,4,8,1, ,3,3,3,3,3, ,3.2,4.25,7.5,9,1,4,8.66666666666667,2,0,1,4,7,1,3,4.33333333333333,4.75,6.5,2.5,6.66666666666667,3.25,1.75,5,6.33333333333333,4.75,3,6.5,2.75, ,1969,.857142857142857,.714285714285714,.714285714285714,1,5.33333333333333,6.14285714285714,17.9187905447824,-11.3511178152902,FR, ,CIV_18122016_L1,2016,38.5,29.8,2.46549539198911,1.92792268258874,12.8119085229329, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,4932, , , , , , , , ,-9, ,Cote d'Ivoire,437,64,2,4,6,0,0, ,4,4,1,4,4,323412.229,11924877,16454668,25069229,3733.047670155, ,35,56.3721885681152,2,.65,.451,.73, , , , , , ,32.3, , ,1.563,3.695,4,.6,2.277,2,.916,2.33,3,1.514,3.317,3,-.502,1.366,1,.257,.626
157,CIV,Cote d'Ivoire,Ivorian Popular Front,FPI,CIV_ Ivorian Popular Front,CIV_ FPI,4,8,1, ,2,4,4,2,1, ,8.66666666666667,2.25,8.11111111111111,2.83333333333333,0,2,8.125,6.6,1,3,4,7.625,1,4,8.42857142857143,9.4,3.25,3,2,4.4,3,3.16666666666667,6.75,4.66666666666667,4.16666666666667,6.8,3.6, ,1969,.857142857142857,.714285714285714,.714285714285714,1,5.33333333333333,6.14285714285714,17.9187905447824,-11.3511178152902,FR, ,CIV_18122016_L1,2016,5.8,1.2,2.46549539198911,1.92792268258874,12.8119085229329, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5096, , , , , , , , ,-9, ,Cote d'Ivoire,437,64,2,4,6,0,0, ,4,4,1,4,4,323412.229,11924877,16454668,25069229,3733.047670155, ,35,56.3721885681152,2,.65,.451,.73, , , , , , ,32.3, , ,1.563,3.695,4,.6,2.277,2,.916,2.33,3,1.514,3.317,3,-.502,1.366,1,.257,.626
158,CIV,Cote d'Ivoire,Rally of Houphouetists for Democracy and Peace,RHDP,CIV_ Rally of Houphouetists for Democracy and Peace,CIV_ RHDP,4,8,1, ,3,2,1,3,3, ,8.875,4.875,7,7.5,1,4,8.88888888888889,4.4,0,2,7.25,3,0,2,3.71428571428571,2.14285714285714,4,1.75,8.14285714285714,3,2.33333333333333,2.5,8.66666666666667,8.5,9.16666666666667,2.6,8.2, ,1969,.857142857142857,.714285714285714,.714285714285714,1,5.33333333333333,6.14285714285714,17.9187905447824,-11.3511178152902,FR, ,CIV_18122016_L1,2016,50.3,65.5,2.46549539198911,1.92792268258874,12.8119085229329, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,7607, , , , , , , , ,-9, ,Cote d'Ivoire,437,64,2,4,6,0,0, ,4,4,1,4,4,323412.229,11924877,16454668,25069229,3733.047670155, ,35,56.3721885681152,2,.65,.451,.73, , , , , , ,32.3, , ,1.563,3.695,4,.6,2.277,2,.916,2.33,3,1.514,3.317,3,-.502,1.366,1,.257,.626
159,CIV,Cote d'Ivoire,Union for Cote d'Ivoire,UPCI,CIV_ Union for Cote d'Ivoire,CIV_ UPCI,4,8,1, ,2,3,4,1,1, ,1.33333333333333,4.25,6.83333333333333,2.33333333333333,0,1,6.6,7,1,3,6.33333333333333,5,1,3,1,4.33333333333333,7.25,1.75,5,4,1.33333333333333,2,5,5.66666666666667,5.75,9,3.66666666666667, ,1969,.857142857142857,.714285714285714,.714285714285714,1,5.33333333333333,6.14285714285714,17.9187905447824,-11.3511178152902,FR, ,CIV_18122016_L1,2016,1,1.2,2.46549539198911,1.92792268258874,12.8119085229329, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,7861, , , , , , , , ,-9, ,Cote d'Ivoire,437,64,2,4,6,0,0, ,4,4,1,4,4,323412.229,11924877,16454668,25069229,3733.047670155, ,35,56.3721885681152,2,.65,.451,.73, , , , , , ,32.3, , ,1.563,3.695,4,.6,2.277,2,.916,2.33,3,1.514,3.317,3,-.502,1.366,1,.257,.626
160,CIV,Cote d'Ivoire,Union for Democracy and Peace in Cote d'Ivoire,UDPCI,CIV_ Union for Democracy and Peace in Cote d'Ivoire,CIV_ UDPCI,4,8,1, ,2,2,2,2,1, ,6,5.71428571428571,7.25,3.5,0,2,6.66666666666667,6,1,3,4.66666666666667,3.16666666666667,0,2,4,4.66666666666667,5,1.75,6.66666666666667,3.6,1.33333333333333,2.75,8.25,7.75,6,4.2,5.75, ,1969,.857142857142857,.714285714285714,.714285714285714,1,5.33333333333333,6.14285714285714,17.9187905447824,-11.3511178152902,FR, ,CIV_18122016_L1,2016,3,2.4,2.46549539198911,1.92792268258874,12.8119085229329, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5628, , , , , , , , ,-9, ,Cote d'Ivoire,437,64,2,4,6,0,0, ,4,4,1,4,4,323412.229,11924877,16454668,25069229,3733.047670155, ,35,56.3721885681152,2,.65,.451,.73, , , , , , ,32.3, , ,1.563,3.695,4,.6,2.277,2,.916,2.33,3,1.514,3.317,3,-.502,1.366,1,.257,.626
161,CMR,Cameroon,Cameroon Democratic Union,UDC,CMR_ Cameroon Democratic Union,CMR_ UDC,4,7,1, ,4,3,4, ,1, ,7.25,8.75,7,8,1,4,6.5,9,1,4,10,6.5,1,3,7.33333333333333,3,7.4,2,6.66666666666667,1,1.33333333333333,2,1,4.5,3.5,8,1, ,1972.8,1,.8,.8,8,5.4,7,48.9332326253255,-22.5975341796875,EN, ,CMR_30092013_L1,2013, ,2.2, ,1.45494119855146, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,3773, , , , , , , , ,-9, ,Cameroon,471,108,2,4,7,0,0, ,-4,-4,0,6,6,467816.06,11780088,15513945,25216237,3358.59092400918,61.2,25,40.1371154785156,1,.334,.131,.227,-1.694,1.027,1, , ,3,76.8,53.5,29.06,.575,3.055,3,-.308,1.413,1,-.193,1.351,1,-1.089,.975,1,-.238,1.643,1,.83,.395
162,CMR,Cameroon,Cameroon People's Democratic Movement,CPDM,CMR_ Cameroon People's Democratic Movement,CMR_ CPDM,4,7,1, ,4,1,2, ,3, ,7.57142857142857,9.6,3.25,5,1,3,6.4,9.5,1,4,9,0,0,1,1.75,7,3.16666666666667,1.5,7.6,2.2,2,7.66666666666667,7.75,10,8.6,1.66666666666667,9.66666666666667, ,1972.8,1,.8,.8,8,5.4,7,48.9332326253255,-22.5975341796875,EN, ,CMR_30092013_L1,2013, ,82.2, ,1.45494119855146, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,3774, , , , , , , , ,-9, ,Cameroon,471,108,2,4,7,0,0, ,-4,-4,0,6,6,467816.06,11780088,15513945,25216237,3358.59092400918,61.2,25,40.1371154785156,1,.334,.131,.227,-1.694,1.027,1, , ,3,76.8,53.5,29.06,.575,3.055,3,-.308,1.413,1,-.193,1.351,1,-1.089,.975,1,-.238,1.643,1,.83,.395
163,CMR,Cameroon,Cameroon Renaissance Movement,CRM,CMR_ Cameroon Renaissance Movement,CMR_ CRM,4,7,1, ,4,3,4, ,1, ,5,8,.666666666666667,9,1,4,9.33333333333333,9.33333333333333,1,4,10,5,1,3,5.66666666666667,0,6.66666666666667,1.33333333333333,6.66666666666667,.666666666666667,0,1.66666666666667,1,1,3.33333333333333,8.5,1.33333333333333, ,1972.8,1,.8,.8,8,5.4,7,48.9332326253255,-22.5975341796875,EN, ,CMR_30092013_L1,2013, ,.6, ,1.45494119855146, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,Cameroon,471,108,2,4,7,0,0, ,-4,-4,0,6,6,467816.06,11780088,15513945,25216237,3358.59092400918,61.2,25,40.1371154785156,1,.334,.131,.227,-1.694,1.027,1, , ,3,76.8,53.5,29.06,.575,3.055,3,-.308,1.413,1,-.193,1.351,1,-1.089,.975,1,-.238,1.643,1,.83,.395
164,CMR,Cameroon,Movement for the Defense of the Republic,MDR,CMR_ Movement for the Defense of the Republic,CMR_ MDR,4,7,1, ,4,1,2, ,1, ,5.5,8.75,8,9,1,4, ,9,1,4,10,1,0,1,0,3,7.5,2,5,1,0,2,5.5,7,9,9.5,3, ,1972.8,1,.8,.8,8,5.4,7,48.9332326253255,-22.5975341796875,EN, ,CMR_30092013_L1,2013, ,.6, ,1.45494119855146, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,Cameroon,471,108,2,4,7,0,0, ,-4,-4,0,6,6,467816.06,11780088,15513945,25216237,3358.59092400918,61.2,25,40.1371154785156,1,.334,.131,.227,-1.694,1.027,1, , ,3,76.8,53.5,29.06,.575,3.055,3,-.308,1.413,1,-.193,1.351,1,-1.089,.975,1,-.238,1.643,1,.83,.395
165,CMR,Cameroon,National Union for Democracy and Progress,UNDP,CMR_ National Union for Democracy and Progress,CMR_ UNDP,4,7,1, ,4,1,2, ,1, ,8.5,9.33333333333333,7.33333333333333,8,1,4,4,8.66666666666667,1,4,9.66666666666667,2,0,1,3,3,7.4,2,7.5,.666666666666667,1.33333333333333,4.66666666666667,7,7,10,5.33333333333333,8.5, ,1972.8,1,.8,.8,8,5.4,7,48.9332326253255,-22.5975341796875,EN, ,CMR_30092013_L1,2013, ,2.8, ,1.45494119855146, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,3775, , , , , , , , ,-9, ,Cameroon,471,108,2,4,7,0,0, ,-4,-4,0,6,6,467816.06,11780088,15513945,25216237,3358.59092400918,61.2,25,40.1371154785156,1,.334,.131,.227,-1.694,1.027,1, , ,3,76.8,53.5,29.06,.575,3.055,3,-.308,1.413,1,-.193,1.351,1,-1.089,.975,1,-.238,1.643,1,.83,.395
166,CMR,Cameroon,Social Democratic Front,SDF,CMR_ Social Democratic Front,CMR_ SDF,4,7,1, ,2,2,2, ,3, ,9,8.33333333333333,3,3.66666666666667,0,2,8,8.75,1,4,9,4.66666666666667,0,2,7.75,1,5.4,2,7.5,2.6,0,2.33333333333333,7,1,4,3.5,0, ,1972.8,1,.8,.8,8,5.4,7,48.9332326253255,-22.5975341796875,EN, ,CMR_30092013_L1,2013, ,10, ,1.45494119855146, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,3682, , , , , , , , ,-9, ,Cameroon,471,108,2,4,7,0,0, ,-4,-4,0,6,6,467816.06,11780088,15513945,25216237,3358.59092400918,61.2,25,40.1371154785156,1,.334,.131,.227,-1.694,1.027,1, , ,3,76.8,53.5,29.06,.575,3.055,3,-.308,1.413,1,-.193,1.351,1,-1.089,.975,1,-.238,1.643,1,.83,.395
167,CMR,Cameroon,Union of the Peoples of Cameroon,UPC,CMR_ Union of the Peoples of Cameroon,CMR_ UPC,4,7,1, ,2,2,2, ,1, ,8.33333333333333,7.66666666666667,9.5,4.33333333333333,0,2,6.5,9,1,4,10,4.66666666666667,0,2,6.33333333333333,0,5.4,1.75,7.5,.666666666666667,1,2,1,5,4.66666666666667,8,2, ,1972.8,1,.8,.8,8,5.4,7,48.9332326253255,-22.5975341796875,EN, ,CMR_30092013_L1,2013, ,1.7, ,1.45494119855146, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5411, , , , , , , , ,-9, ,Cameroon,471,108,2,4,7,0,0, ,-4,-4,0,6,6,467816.06,11780088,15513945,25216237,3358.59092400918,61.2,25,40.1371154785156,1,.334,.131,.227,-1.694,1.027,1, , ,3,76.8,53.5,29.06,.575,3.055,3,-.308,1.413,1,-.193,1.351,1,-1.089,.975,1,-.238,1.643,1,.83,.395
168,COD,Democratic Republic of the Congo,Heading for Change,CACH,COD_ Heading for Change,COD_ CACH,4, , , ,2,1,2, , , ,9,8,7,3.5,0,2,9,7,1,3,5,1.5,0,1,4.66666666666667,1,1,4.66666666666667,9,3,3.5,4,8.33333333333333,5,3.33333333333333,7,5, ,1976.33333333333,1,1,1, ,5,9.33333333333333,21.877197265625,-23.2298545837402,EN, , ,2018, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,"Congo, Dem. Rep.",484,112, ,4,7, ,0, , , , , , ,346333.854,34612023,47105826,84068091,827.138253242804,63.9,19,29.289493560791,1,.28,.105,.161, , , , , , , , , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
169,COD,Democratic Republic of the Congo,Joint Front for Congo,FCC,COD_ Joint Front for Congo,COD_ FCC,4, , , ,2,1,2, , , ,10,8.66666666666667,8.33333333333333,3.66666666666667,0,2,7.5,9,1,4,5.33333333333333,2,0,1,6,4.5,3.33333333333333,5.5,.666666666666667,3.5,4,9,8.66666666666667,9.5,9,6.5,10, ,1976.33333333333,1,1,1, ,5,9.33333333333333,21.877197265625,-23.2298545837402,EN, , ,2018, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,"Congo, Dem. Rep.",484,112, ,4,7, ,0, , , , , , ,346333.854,34612023,47105826,84068091,827.138253242804,63.9,19,29.289493560791,1,.28,.105,.161, , , , , , , , , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
170,COD,Democratic Republic of the Congo,Lamuka Coalition,Lamuka,COD_ Lamuka Coalition,COD_ Lamuka,4, , , ,3,3,3, , , ,10, ,5,8.33333333333333,1,4,8.66666666666667,4,0,2,6,5.5,1,3,6.66666666666667,4.66666666666667, ,4,9.5,1.33333333333333,4,3.66666666666667,6,3,2,6.33333333333333,4.66666666666667, ,1976.33333333333,1,1,1, ,5,9.33333333333333,21.877197265625,-23.2298545837402,EN, , ,2018, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,"Congo, Dem. Rep.",484,112, ,4,7, ,0, , , , , , ,346333.854,34612023,47105826,84068091,827.138253242804,63.9,19,29.289493560791,1,.28,.105,.161, , , , , , , , , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
171,COG,Republic of the Congo,Action Movement for Renewal,MAR,COG_ Action Movement for Renewal,COG_ MAR,4,3,0, ,0,4,0, ,1, ,6,10, , , , ,10, , , , ,10,1,4,10,0,10,0,0,4, ,10,10, ,3,10, , ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,2, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,7994, , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
172,COG,Republic of the Congo,Club 2002 PUR,2002,COG_ Club 2002 PUR,COG_ 2002,4,3,0, ,0,4,0, ,1, ,5,10, , , , ,10, , , , ,10,1,4,10,0,0,0,0,4, ,10,10, ,3,10,10, ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,.7, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
173,COG,Republic of the Congo,Congolese Party of Labour,PCT,COG_ Congolese Party of Labour,COG_ PCT,4,3,0, ,0,4,0, ,3, ,5,10, , , , ,10, , , , ,10,1,4,10,0,0,0,0,4, ,10,10, ,3,10,10, ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,59.6, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5365, , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
174,COG,Republic of the Congo,Dynamic for the Republic and Recovery,DRD,COG_ Dynamic for the Republic and Recovery,COG_ DRD,4,3,0, ,0,4,0, ,1, ,5,10, , , , ,10, , , , ,10,1,4,10,0,0,0,0,4, , ,10, ,3,10, , ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,2, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,7640, , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
175,COG,Republic of the Congo,Independents,Ind.,COG_ Independents,COG_ Ind.,4,3,0, ,0,4,0, ,2, ,5,7, , , , ,10, , , , ,10,1,4,10,0, ,0,0,3, ,10,10, ,3,10,10, ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,5.3, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,4676, , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
176,COG,Republic of the Congo,Pan-African Union for Social Democracy,UPADS,COG_ Pan-African Union for Social Democracy,COG_ UPADS,4,3,0, ,0,4,0, ,2, ,6,7, , , , ,10, , , , ,10,1,4,10,0, ,0,0,3, , ,10, ,3,10, , ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,5.3, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5364, , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
177,COG,Republic of the Congo,Party for Agreement and Political Action,PAPA,COG_ Party for Agreement and Political Action,COG_ PAPA,4,3,0, ,0,4,0, ,1, ,5,10, , , , ,10, , , , ,10,1,4,10,0,0,0,0,3, , ,10, ,3,10, , ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,.7, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
178,COG,Republic of the Congo,Patriotic Front,PA,COG_ Patriotic Front,COG_ PA,4,3,0, ,0,4,0, ,1, ,5.5,10, , , , ,10, , , , ,10,1,4,10,0, ,0,0,3, , ,10, ,3,10, , ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,.7, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
179,COG,Republic of the Congo,Rally for Democracy and Social Progress,RPDS,COG_ Rally for Democracy and Social Progress,COG_ RPDS,4,3,0, ,0,4,0, ,1, ,6,7, , , , ,10, , , , ,10,1,4,10,0, ,0,0,3, , ,10, ,3,10, , ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,1.3, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
180,COG,Republic of the Congo,Union for a People's Movement,UPM,COG_ Union for a People's Movement,COG_ UPM,4,3,0, ,0,4,0, ,1, ,6,10, , , , ,10, , , , ,10,1,4,10,0,0,0,0,3, ,10,10, ,3,10, , ,1972,1,1,1, ,8,7,48.7447967529297,2.48699951171875,FR, ,COG_30072017_L2,2017, ,1.3, ,2.76152314570625, , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , ,-9, ,"Congo, Rep.",490,112,2,4,7,0,0, ,-4,-4,0,7,5,346333.854,2356737,3127411,5244363,5024.08268595301,63.9,19, ,1,.28,.105,.161, , , , , , ,44.4, , ,.088,2.616,3,1.011,2.673,3,.964,2.37,3,-1.471,.684,1,-.484,1.386,1,.898,.512
181,COL,Colombia,Alternative Democratic Polo Party,PDA,COL_ Alternative Democratic Polo Party,COL_ PDA,2,4,0, ,1,3,3,1,1, ,8.2,5.33333333333333,4.75,1.33333333333333,0,1,9,1.5,0,1,8.66666666666667,6,1,3,5.66666666666667,2,1.33333333333333,.666666666666667,7.33333333333333,.666666666666667,.333333333333333,2,1,1.5,3,9,1.33333333333333, ,1978,0,.666666666666667,.666666666666667,6,3.33333333333333,9.33333333333333,29.6101379394531,-82.9533004760742,ES-ES, ,COL_11032018_L1,2018,0,1.2,13.3224977018691,6.3757212534668,12.5698050899765, , , , , , , , , , , , , , , , , , ,0,4.65,6.61968680089486,78.4206081081081,6.48,7.6658,-5.14666666666667,-6.1658,-3.31666666666667,-5.11968680089486, , ,218, , , , , , , , ,170008, ,Colombia,100,15,9,2,18,0,0, ,7,7,1,3,3,1142725.713,33102575,39629968,49648685,13321.3278527342,78.6,36,59.5721817016602,2,.664,.475,.754,1.932,3.835,4,7,1,4,48.97,53.38,57.28,2.483,3.938,4,1.183,2.829,3,.695,2.125,2,-.988,1.046,1,1.531,3.456,4,.728,.521
